"","cushion","open","cushion+open"
"CaryUnk_sp",0.000325732899022801,0.000651465798045603,0.000488599348534202
"CaryUnk2_sp",0.000488599348534202,0.000651465798045603,0.000570032573289902
"CaryUnk3_sp",0.00374592833876221,0.00211726384364821,0.00293159609120521
"CaryUnk4_sp",0.000977198697068404,0.000651465798045603,0.000814332247557003
"CaryUnk5_sp",0.000651465798045603,0.00146579804560261,0.0010586319218241
"Cassiope_hypnoides",0.000814332247557003,0.000325732899022801,0.000570032573289902
"Castilleja_miniata",0.000651465798045603,0.00162866449511401,0.0011400651465798
"Castilleja_nubigena",0.00309446254071661,0.00488599348534202,0.00399022801302932
"Castilleja_pallescens",0.000814332247557003,0.000488599348534202,0.000651465798045603
"Catabrosella_parviflora",0.000162866449511401,0.000162866449511401,0.000162866449511401
"Celmisia_bondplanii",0.000162866449511401,0,8.14332247557003e-05
"Celmisia_glandulosa",0.000162866449511401,0.000162866449511401,0.000162866449511401
"Celmisia_laricifolia",0.0107491856677524,0.00244299674267101,0.00659609120521173
"Celmisia_lyallii",0.000162866449511401,0.000162866449511401,0.000162866449511401
"Celmisia_sessiliflora",0.00130293159609121,0.000162866449511401,0.000732899022801303
"Celmisia_spectabilis",0.00325732899022801,0.00162866449511401,0.00244299674267101
"Celmisia_viscosa",0.00244299674267101,0.000325732899022801,0.00138436482084691
"Centaurea_maculosa",0.000325732899022801,0.000162866449511401,0.000244299674267101
"Centaurea_sp",0.00276872964169381,0.00553745928338762,0.00415309446254072
"Cerastium_alpinum",0.00374592833876221,0.00293159609120521,0.00333876221498371
"Cerastium_arvense",0.0472312703583062,0.0123778501628664,0.0298045602605863
"Cerastium_beeringianum",0.00570032573289902,0.000488599348534202,0.00309446254071661
"Cerastium_floccosum",0.00358306188925081,0.00651465798045603,0.00504885993485342
"Cerastium_imbricatum",0.00179153094462541,0.00130293159609121,0.00154723127035831
"Cerastium_lanatum",0.00456026058631922,0.00618892508143322,0.00537459283387622
"Cerastium_latifolium",0.00325732899022801,0.00602605863192182,0.00464169381107492
"Cerastium_nutans",0.0011400651465798,0.000325732899022801,0.000732899022801303
"Cerastium_sp",0.00407166123778502,0.00423452768729642,0.00415309446254072
"Cerastium_sp1",0.00635179153094463,0.00651465798045603,0.00643322475570033
"Cerastium_sp2",0.000488599348534202,0.000162866449511401,0.000325732899022801
"Cerastium_sp3",0,0.000162866449511401,8.14332247557003e-05
"Cerastium_trianae",0.00374592833876221,0.000814332247557003,0.00228013029315961
"Cerastrium_vulgare",0.000651465798045603,0.000325732899022801,0.000488599348534202
"Chaenorhinum_glareosum",0.000814332247557003,0.000651465798045603,0.000732899022801303
"Chaetanthera_apiculata",0,0.000977198697068404,0.000488599348534202
"Chaetanthera_euphrasioides",0.00276872964169381,0.0123778501628664,0.00757328990228013
"Chaetanthera_lycopodioides",0,0.0167752442996743,0.00838762214983713
"Chaetanthera_pentacaenoides",0.0262214983713355,0.0335504885993485,0.029885993485342
"Chaetanthera_planiseta",0,0.0109120521172638,0.00545602605863192
"Chaetanthera_pusilla",0,0.00895765472312704,0.00447882736156352
"Chamorchis_alpina",0.000814332247557003,0.000651465798045603,0.000732899022801303
"Chionochloa_sp",0.00960912052117264,0.00260586319218241,0.00610749185667752
"Chionohebe_ciliata",0.00553745928338762,0.00700325732899023,0.00627035830618893
"Chionohebe_thomsonii",0.000977198697068404,0.000977198697068404,0.000977198697068404
"Chrysopsis_villosa",0.00228013029315961,0.00244299674267101,0.00236156351791531
"Chrysosplenium_tetrandum",0.000162866449511401,0,8.14332247557003e-05
"Chuquiraga_avellanae",0,0.00195439739413681,0.000977198697068404
"Chuquiraga_jussieui",0.000977198697068404,0.000325732899022801,0.000651465798045603
"Chuquiraga_oppositifolia",0.00325732899022801,0.000814332247557003,0.00203583061889251
"Cirsium_etonii",0.00260586319218241,0.00130293159609121,0.00195439739413681
"Cirsium_scariosum",0.000162866449511401,0.000162866449511401,0.000162866449511401
"Cirsium_sp",0.00390879478827362,0.00716612377850163,0.00553745928338762
"Cirsium_sp2",0.00146579804560261,0.000977198697068404,0.0012214983713355
"Cirsium_spinosissimum",0.000325732899022801,0,0.000162866449511401
"Cirsium_tweedyi",0.000162866449511401,0,8.14332247557003e-05
"Claytonia_megarhiza",0.00146579804560261,0.000651465798045603,0.0010586319218241
"Colobanthus_aciculatus",0.00342019543973941,0.00651465798045603,0.00496742671009772
"Colobanthus_buchannii",0.00130293159609121,0.00814332247557003,0.00472312703583062
"Colobanthus_lycopodioides",0.000162866449511401,0,8.14332247557003e-05
"Colobanthus_subulatus",0.000977198697068404,0.000162866449511401,0.000570032573289902
"Comastoma_pulmonarium",0.000488599348534202,0.000651465798045603,0.000570032573289902
"Comastoma_tenellum",0.000651465798045603,0.00162866449511401,0.0011400651465798
"Cortia_depressa",0.000162866449511401,0.000162866449511401,0.000162866449511401
"Corydalis_pauciflora",0,0.000162866449511401,8.14332247557003e-05
"Crepis_heterotricha",0.000651465798045603,0.000488599348534202,0.000570032573289902
"Crepis_jacquinii",0.00570032573289902,0.00765472312703583,0.00667752442996743
"Crepis_sp",0.000325732899022801,0,0.000162866449511401
"Crepis_sp1",0.000488599348534202,0.000325732899022801,0.000407166123778502
"Crepis_terglouensis",0.00146579804560261,0.000651465798045603,0.0010586319218241
"Crocus_sp",0.00130293159609121,0.00130293159609121,0.00130293159609121
"Cryptantha_celosioides",0.00358306188925081,0.00179153094462541,0.00268729641693811
"Cryptantha_nubigena",0.00586319218241042,0.00276872964169381,0.00431596091205212
"Cuscuta_chilensis",0.000325732899022801,0,0.000162866449511401
"Cyananthus_himalaicus",0.00504885993485342,0.00586319218241042,0.00545602605863192
"Cyananthus_microphyllus",0.000977198697068404,0.000977198697068404,0.000977198697068404
"Cymopterus_glaucus",0.00146579804560261,0.00162866449511401,0.00154723127035831
"Cyperus_reflexus",0,0.000162866449511401,8.14332247557003e-05
"Cyperus_sp",0.0125407166123779,0.011400651465798,0.0119706840390879
"Cytisus_galianoi",0.00390879478827362,0.00211726384364821,0.00301302931596091
"Dactylis_glomerata",0.00211726384364821,0.00130293159609121,0.00171009771986971
"Danthonia_intermedia",0.0128664495114007,0.00586319218241042,0.00936482084690554
"Daphne_sp",0.00309446254071661,0.00179153094462541,0.00244299674267101
"Dasiphora_fruticosa",0.00765472312703583,0.00244299674267101,0.00504885993485342
"Delphinium_oxysepalum",0,0.000325732899022801,0.000162866449511401
"Deschampsia_caespitosa",0.00244299674267101,0,0.0012214983713355
