"","s.cushion","s.open","index","stat","p.value"
"Aster_himailacus",1,0,1,0.0378579549857137,0.062
"Astragalus_alpinus",1,0,1,0.045839901228913,0.01
"Astragalus_bourgovii",1,0,1,0.0180480718921108,0.499
"Astragalus_capito",0,1,2,0.0242513679090033,0.329
"Astragalus_frigidus",0,1,2,0.0201783578067815,0.529
"Astragalus_kentrophyta",1,0,1,0.101091733972029,0.001
"Astragalus_nivicola",1,1,3,0.0372070533749571,NA
"Astragalus_polycladus",1,0,1,0.0221042834883694,0.255
"Astragalus_purshii",1,0,1,0.0809009191248705,0.001
"Astragalus_sp",0,1,2,0.0127619140222539,1
"Astragalus_sp1",1,0,1,0.0255238280445078,0.115
"Astragalus_suleatus",1,0,1,0.0366558072952848,0.024
"Astragalus_tanguticus",1,1,3,0.0510476560890156,NA
"AstUnk_sp",1,0,1,0.0180480718921108,0.496
"AstUnk1_sp",1,1,3,0.0644445068453527,NA
"AstUnk2_sp",1,0,1,0.0127619140222539,1
"AstUnk3_sp",1,1,3,0.0201783578067815,NA
"Avena_fatua",1,0,1,0.0703265382128203,0.001
"Azorella_coespitosa",0,1,2,0.0510476560890156,0.008
"Azorella_fuegiana",1,1,3,0.0460137353802993,NA
"Azorella_licopodioidis",1,0,1,0.0588028911279988,0.001
"Azorella_madreporica",1,0,1,0.0285365072767675,0.061
"Azorella_madreporica.1",NA,NA,NA,NA,NA
"Azorella_monantha",1,0,1,0.0180480718921108,0.482
"Azorella_pedunculata",1,0,1,0.0856677398049536,0.001
"Azorella_trifurcata",1,1,3,0.0494266804739203,NA
"Baccharis_caespitosa",0,1,2,0.153038545546369,0.001
"Barbarea_orthoceras",1,1,3,0.102889840209036,NA
"Barneoudia_major",1,1,3,0.083197500588867,NA
"Bartsia_alpina",1,0,1,0.0334185354397125,0.081
"Bartsia_stricta",1,1,3,0.0841706038575578,NA
"Bellis_sp",1,0,1,0.0127619140222539,1
"Berberis_buxifolia",1,1,3,0.032536624315133,NA
"Berberis_empetrifolia",1,0,1,0.0614960076562269,0.001
"Besseya_alpina",1,0,1,0.0611385190643052,0.001
"Besseya_wyomingensis",1,0,1,0.0846216716249379,0.001
"Biscutella_glacialis",1,1,3,0.0299293413277456,NA
"Bistorta_vivipara",1,1,3,0.120056989724709,NA
"Brachyglottis_bellidioides",1,0,1,0.0949558127908246,0.001
"Brachyscome_sinclairii",1,0,1,0.0380747997338372,0.011
"BrasUnk_sp",1,0,1,0.140619411392773,0.001
"BrasUnk2_sp",1,0,1,0.0221042834883694,0.24
"BrasUnk3_sp",1,1,3,0.0127619140222539,NA
"Bromus_carinatus",1,0,1,0.0180480718921108,0.474
"Bromus_catharticus",1,0,1,0.034243808732121,0.091
"Bromus_commutatus",1,1,3,0.0771013969209775,NA
"Bromus_lanatus",1,1,3,0.0605350734203446,NA
"Bromus_setifolius",1,0,1,0.155918100030101,0.001
"Bromus_sp",1,1,3,0.113070846316126,NA
"Bromus_sp1",1,0,1,0.0180480718921108,0.483
"Bromus_tectorum",1,1,3,0.0577820232856527,NA
"Bromus_tomentosus",1,1,3,0.0612039895657319,NA
"Bupleurum_americanum",1,0,1,0.101254058741805,0.001
"Calamagrostis_curvula",1,1,3,0.0403567156135631,NA
"Calamagrostis_lapponica",1,1,3,0.0468902662436876,NA
"Calamagrostis_pseudophragmites",1,1,3,0.107154489829189,NA
"Calamagrostis_sp",1,0,1,0.0477507098707402,0.007
"Calandrinia_affinis",1,1,3,0.0468902662436876,NA
"Calandrinia_caespitosa",1,1,3,0.068725010264318,NA
"Calandrinia_gayana",NA,NA,NA,NA,NA
"Calandrinia_sp",1,1,3,0.0870246511184051,NA
"Calceolarea_sp",1,0,1,0.0406855670806051,0.04
"Calceolaria_uniflora",1,1,3,0.0591745609573499,NA
"Campanula_alpina",1,0,1,0.0127619140222539,1
"Campanula_cochleariifolia",1,1,3,0.079698127524708,NA
"Campanula_rotundifolia",1,1,3,0.0127619140222539,NA
"Campanula_ruprechtii",1,1,3,0.0502437057493445,NA
"Campanula_scheuchzeri",1,0,1,0.102442175699262,0.001
"Campanula_sp",1,1,3,0.0760378784399902,NA
"Campanula_tatrae",1,1,3,0.0372070533749571,NA
"Capsella_bursa_pastoris",1,1,3,0.0360961437842217,NA
"Cardamine_bellidifolia",0,1,2,0.0127619140222539,1
"Cardamine_bilobata",1,0,1,0.0127619140222539,1
"Carex_aphylla",1,0,1,0.0312601774957917,0.037
"Carex_atrata",0,1,2,0.0382857420667617,0.007
"Carex_bigelowii",1,0,1,0.036214686447442,0.03
"Carex_caduca",1,0,1,0.0382857420667617,0.003
"Carex_capillaris",1,0,1,0.0354128742301128,0.103
"Carex_curvula",1,0,1,0.0425806957998765,0.005
