"","s.cushion","s.open","index","stat","p.value"
"Senecio_triangularis",0,1,2,0.0127619140222539,1
"Sesleria_caerulea",1,0,1,0.0936434704567364,0.001
"Sesleria_sp",1,1,3,0.126979441255774,NA
"Sesleria_tatrae",0,1,2,0.0739346912016069,0.001
"Sibbaldia_sp",1,1,3,0.0879554225263658,NA
"Sideritis_glacialis",1,1,3,0.0423264804185915,NA
"Silene_acaulis",1,0,1,0.0391041557662401,0.032
"Silene_boryi",0,1,2,0.0180480718921108,0.496
"Silene_ciliata",1,0,1,0.0680035999683968,0.001
"Silene_douglasii",1,0,1,0.0180480718921108,0.52
"Silene_gonosperma",1,1,3,0.0625203549915835,NA
"Silene_scouleri",1,1,3,0.0180480718921108,NA
"Silene_sp",1,1,3,0.0533869166224227,NA
"Sisymbrium_altissimum",0,1,2,0.0127619140222539,1
"Sisyrinchium_arenarium",1,0,1,0.0180480718921108,0.499
"Sisyrinchium_patagonicum",1,0,1,0.0679557606378412,0.001
"Smelowskia_calycina",1,0,1,0.195815645211404,0.001
"Soldanella_alpina",1,0,1,0.0127619140222539,1
"Solidago_multiradiata",1,1,3,0.0971918415900287,NA
"Solidago_sp",1,0,1,0.0127619140222539,1
"Solidago_sp1",1,1,3,0.114502179829328,NA
"Soroseris_erysimoides",1,1,3,0.0618656735477592,NA
"Spergularia_rubra",1,0,1,0.0178266147702974,0.503
"Stellaria_americana",1,1,3,0.0584824370194968,NA
"Stellaria_borealis",1,0,1,0.0323273834032103,0.059
"Stellaria_patens",1,0,1,0.0221042834883694,0.244
"Stellaria_sp",1,0,1,0.0127619140222539,1
"Stenanthium_occidentale",1,0,1,0.0127619140222539,1
"Swertia_ciliata",1,1,3,0.039334860751734,NA
"Synthris_pinnatifia",1,0,1,0.0221042834883694,0.273
"Tarasa_humilis",1,1,3,0.0221042834883694,NA
"Taraxacum_alpinum",1,1,3,0.0127619140222539,NA
"Taraxacum_mongolicum",1,0,1,0.0127619140222539,1
"Taraxacum_officinale",1,0,1,0.183324262187298,0.001
"Taraxacum_sp",1,0,1,0.0457178240448548,0.024
"Taraxacum_sp1",1,0,1,0.0297777993852591,0.177
"Taraxacum_sp2",1,1,3,0.0201783578067815,NA
"Taraxacum_vulgare",1,0,1,0.0312601774957917,0.045
"Teucrium_sp",1,1,3,0.0221042834883694,NA
"Thalictrum_alpinum",1,1,3,0.0477507098707402,NA
"Thalictrum_fendleri",1,0,1,0.0180480718921108,0.48
"Themeda_trianda",1,0,1,0.0707590222635083,0.001
"Thlaspi_magellanicum",1,0,1,0.174420418302943,0.001
"Thlaspi_montanum",1,0,1,0.0795170774782192,0.001
"Thlaspi_sp",1,0,1,0.0201783578067815,0.517
"Thlaspi_sp1",0,1,2,0.050271642201739,0.012
"Thlaspi_sp2",1,1,3,0.032536624315133,NA
"Thymus_alpestris",1,1,3,0.10328481225716,NA
"Thymus_pulegioides",1,1,3,0.0625203549915835,NA
"Thymus_serpylloides",1,1,3,0.0548910677247302,NA
"Tiarella_trifoliata",1,0,1,0.0322853724908505,0.078
"Tofieldia_accidentalis",1,0,1,0.0396548061457234,0.014
"Tofieldia_glutinosa",1,0,1,0.0725988551958947,0.001
"Tofieldia_pusilla",1,1,3,0.0201783578067815,NA
"Trachydium_depressum",1,0,1,0.0372475618827357,0.006
"Trifolium_andersonii",1,1,3,0.107533798943911,NA
"Trifolium_dubium",1,0,1,0.0494005218690323,0.011
"Trifolium_nanum",1,1,3,0.0442085669767389,NA
"Trifolium_parryi",1,0,1,0.0127619140222539,1
"Trifolium_repens",1,0,1,0.0283701122298493,0.065
"Trisetum_alpestre",1,0,1,0.0127619140222539,1
"Trisetum_barbinode",1,0,1,0.0786697215034681,0.001
"Trisetum_flavescens",0,1,2,0.0127619140222539,1
"Trisetum_glaciale",1,0,1,0.0502946182734147,0.011
"Trisetum_oreophilum",1,0,1,0.0427226807611703,0.016
"Trisetum_preslei",1,0,1,0.165902556003574,0.001
"Trisetum_sp",1,0,1,0.0930149643134898,0.001
"Trisetum_sp1",1,0,1,0.0771348132086475,0.001
"Trisetum_spicatum",1,1,3,0.111255787098319,NA
"Tristagma_nivale",1,0,1,0.063667613160987,0.002
"Tropaeolum_polyphyllum",0,1,2,0.0382857420667617,0.006
"Tulipa_sp",1,1,3,0.0270721078381663,NA
"Vaccaria_segetalis",1,0,1,0.0127619140222539,1
"Vaccinium_gaultherioides",1,0,1,0.0180480718921108,0.479
"Vaccinium_uliginosum",1,0,1,0.0215445905300493,0.244
"Valeriana_alypifolia",0,1,2,0.0127619140222539,1
"Valeriana_aretioides",1,1,3,0.0255238280445078,NA
"Valeriana_rigida",1,1,3,0.071055330094606,NA
"Veronica_alpina",1,0,1,0.0294723779844926,0.109
"Veronica_aphylla",1,0,1,0.0761301462550776,0.001
"Veronica_ciliata",1,1,3,0.071055330094606,NA
"Veronica_himalaica",1,1,3,0.0423264804185915,NA
"Veronica_kurdica",1,0,1,0.0127619140222539,1
"Veronica_sp",1,0,1,0.0378159605690328,0.086
"Veronica_sp1",0,1,2,0.0559585737013019,0.002
"Veronica_verna",1,1,3,0.0510476560890156,NA
"Vicia_bijuga",1,1,3,0.0423264804185915,NA
"Vicia_magellanica",1,1,3,0.0270721078381663,NA
"Viola_atropurpurea",0,1,2,0.0792165634330224,0.001
"Viola_bangii",0,1,2,0.102717753843961,0.001
"Viola_biflora",1,0,1,0.0398777548624511,0.036
"Viola_calcarata",1,0,1,0.0799428107866983,0.002
"Viola_cotyledon",1,1,3,0.115211178429782,NA
"Viola_crassiuscula",1,0,1,0.022829205821414,0.325
"Viola_cunninghamii",1,1,3,0.0180480718921108,NA
"Viola_montagnei",0,1,2,0.0698998818692995,0.001
"Viola_philippii",0,1,2,0.118034845272717,0.001
"Viola_sp",1,0,1,0.0127619140222539,1
"Viola_sp1",1,1,3,0.0238753549353701,NA
"Viola_subandina",0,1,2,0.0127619140222539,1
"Wahlenbergia_albomarginata",1,0,1,0.0895761066274601,0.001
"Werneria_glaberrima",1,0,1,0.0403567156135631,0.002
"Werneria_nubigena",1,1,3,0.118004582255202,NA
"Werneria_pumila",1,1,3,0.0423264804185915,NA
"Werneria_pygmaea",0,1,2,0.0840092027428783,0.001
"Ziziphora_clinopodioides",1,1,3,0.032536624315133,NA
